12,17,33,65,21,13,4,6,41,9,4,20,14,13,12,1
20,58,14,27,39,7,12,5,8,5,15,22,14,26,14,1
26,33,18,4,23,12,4,6,16,24,36,12,4,31,18,1
34,41,18,4,24,13,8,9,18,27,35,8,11,29,40,1
25,42,14,9,21,15,12,7,17,21,40,10,11,18,44,1
22,23,10,23,21,7,11,5,19,11,42,12,11,17,35,1
26,41,12,15,27,10,6,5,18,7,35,6,12,18,31,1
17,74,9,22,41,10,6,4,21,4,27,9,12,27,27,1
19,75,12,20,42,9,14,7,17,5,28,23,10,32,15,1
20,58,14,27,39,7,12,5,8,5,15,22,14,26,14,1
18,11,44,39,28,14,3,7,40,21,2,6,10,11,17,1
14,10,54,42,28,14,3,7,51,61,2,11,8,15,13,1
22,5,43,24,29,15,6,5,31,47,11,8,5,20,12,1
23,5,29,4,15,17,11,6,25,46,50,7,7,35,11,1
38,20,27,6,34,21,11,8,30,51,67,15,10,61,22,1
34,41,18,4,24,13,8,9,18,27,35,8,11,29,40,1
22,23,10,23,21,7,11,5,19,11,42,12,11,17,35,1
17,74,9,22,41,10,6,4,21,4,27,9,12,27,27,1
9,9,48,67,35,12,0,4,63,12,0,16,13,15,14,1
21,55,14,33,46,11,5,2,7,11,15,16,11,25,25,1
24,28,11,10,16,10,6,3,19,35,38,12,8,41,30,1
24,41,14,10,22,12,6,7,13,27,35,7,6,37,38,1
30,23,7,15,25,12,10,7,18,18,50,15,13,29,41,1
20,22,6,22,20,13,7,6,17,12,52,9,8,26,51,1
17,34,8,19,21,13,10,5,20,5,36,9,10,22,51,1
16,65,8,24,34,11,6,2,21,5,24,18,9,22,39,1
19,75,7,27,44,12,5,5,12,5,20,17,15,33,27,1
21,55,14,33,46,11,5,2,7,11,15,16,11,25,25,1
14,6,44,41,24,17,3,3,57,12,1,9,9,14,8,1
20,5,42,42,33,16,6,5,60,52,5,17,6,15,5,1
27,13,46,13,26,13,3,5,47,41,9,12,3,31,6,1
